sounds,Value,Elo,RW,Best,Worst,Unchosen,BestWorst,ABW,David,ValueLogit,RWLogit,BestWorstLogit
n_MA_ES_A-Ha_p_C3.wav,0.3360323444931432,-340.63986517561,0.3332486447936898,0,7,9,-65.125,-0.9382696385929302,-49100,-0.6810260180012938,-0.6935283032004941,-65.125
n_TpC-ord-C5-mf.wav,0.640672161701632,219.0077293941977,0.6405714984292631,7,0,9,66.125,0.9382696385929302,36200,0.5782827075042376,0.5778454697852728,66.125
n_Fl-aeolian+ord-C5-mf.wav,0.3739723984292257,-230.48081200616986,0.3762752629835349,0,6,10,-55.75,-0.7884573603642702,-32500,-0.5152124683944398,-0.5053881865169951,-55.75
n_Vc-pizz_bartok-C3-ff-3c.wav,0.5817862796222824,87.3657104806437,0.582428926592278,6,2,8,38.0,0.5108256237659907,23500,0.33011056851806236,0.33275239805205636,38.0
n_Vc-ord-C4-ff.wav,0.5678009345699545,86.95460998491798,0.5708317244248587,6,2,8,38.0,0.5108256237659907,15900,0.2728846082715521,0.2852453701627988,38.0
n_Gsp_HH_p_C6.wav,0.7583486210980956,522.0982719570778,0.7670994679978405,12,0,4,113.0,1.9459101490553132,71500,1.1436470977342068,1.1920050163020188,113.0
n_Fl-flatt-C5-pp.wav,0.3705177932979882,-247.54088000769428,0.37219530236398046,1,7,8,-55.75,-0.7884573603642702,-35900,-0.5299961186428741,-0.5228104042147013,-55.75
n_Tbn+C-ord-C4-mf.wav,0.3615440448982426,-228.24125892646495,0.3641973690855377,1,8,7,-65.125,-0.9382696385929302,-36700,-0.56866881781064,-0.5571922429777838,-65.125
n_ClBb-ord-C5-pp.wav,0.3860454604997955,-180.5480986511155,0.3850962275981941,1,7,8,-55.75,-0.7884573603642702,-32400,-0.46396574965847576,-0.4679725430538156,-55.75
n_Gtr-ord-C3-ff.wav,0.671840055894154,315.30333433824796,0.677471294048625,8,0,8,75.5,1.0986122886681098,49000,0.7165191761333767,0.7421750384717238,75.5
n_Va-pizz_lv-C5-mf.wav,0.4967121050108298,-50.15445683174245,0.4981046270395832,3,3,10,0.5,0.0,-1000,-0.013151769524149287,-0.007581528156706094,0.5
n_BTb-flatt-C4-mf.wav,0.21331926061453807,-567.1654625586693,0.20309392357949577,0,13,3,-121.375,-2.268683541318364,-79000,-1.3050325786004435,-1.3670682756764634,-121.375
n_Fl-aeolian+ord-C6-ff.wav,0.6368730325678189,224.28413474988858,0.6342184922179069,10,3,3,66.125,0.9382696385929302,46600,0.5618177691263266,0.5503573381481632,66.125
n_Tbn-flatt-C5-pp.wav,0.4349458794988249,-114.9118763015102,0.42908758967817845,2,5,9,-27.625,-0.3794896217049037,-21300,-0.26169990665339804,-0.2855747310731299,-27.625
n_Acc-ord-C4-pp.wav,0.47188724107690244,-86.16983728030465,0.4743297504226433,3,4,9,-8.875,-0.12516314295400605,-8800,-0.11256975845050665,-0.10277135838649622,-8.875
n_Cb-pizz_lv-C3-ff.wav,0.5592537629540402,146.17626691328317,0.5609668519329634,6,4,6,19.25,0.25131442828090617,25400,0.23813404529385443,0.24508689796349542,19.25
n_Fl-flatt-C5-ff.wav,0.4650547360185216,-47.69296686527636,0.46670546467629614,1,3,12,-18.25,-0.25131442828090605,-8300,-0.14000932081930934,-0.1333755085740873,-18.25
n_ClBb-ord-C6-ff.wav,0.6156782253805686,208.08762948460566,0.6139942212368885,8,2,6,56.75,0.7884573603642703,35800,0.4712443092223328,0.4641331761948891,56.75
n_Va-ord-C6-ff.wav,0.5718143978018372,120.03506004847353,0.5773554438316146,4,1,11,28.625,0.3794896217049037,21600,0.28925770777904086,0.31192656429445764,28.625
n_Vc-pont-C2-mf-4c.wav,0.43258383313558263,-79.80582919766442,0.4341746248645553,1,5,10,-37.0,-0.5108256237659907,-15800,-0.27131687342834415,-0.2648386914902131,-37.0
n_Gsp_ME_p_C7.wav,0.811342727223908,602.9508662459461,0.8400319156179671,14,0,2,131.75,2.70805020110221,73400,1.4587585657930933,1.6584655631746448,131.75
n_Hp-ord-C7-ff.wav,0.7379474595437345,441.58441522194175,0.749948287336985,11,0,5,103.625,1.6863989535702288,67000,1.0353276092869197,1.0983365068121675,103.625
n_Vib_ES_So_sp-0_p1_C4.wav,0.38258753761868225,-185.79428609566455,0.384943500529923,2,8,6,-55.75,-0.7884573603642702,-33900,-0.4785798135248817,-0.4686175609955053,-55.75
n_ClBb-ord-C6-mf.wav,0.5216372242889045,31.40218903634505,0.5222550978827294,4,3,9,9.875,0.125163142954006,4400,0.08660298400997357,0.08907924931695062,9.875
n_Acc-ord-C5-pp.wav,0.6094833280663701,166.44262019796477,0.6130912345918063,8,2,6,56.75,0.7884573603642703,32600,0.4451409329071091,0.460324840863471,56.75
n_MA_ES_A-Ha_f_C2.wav,0.44481755900627973,-60.04758551651667,0.44275373686540864,3,7,6,-37.0,-0.5108256237659907,-10200,-0.22163256389984357,-0.22999354958629561,-37.0
n_Tbn+H-ord-C4-mf.wav,0.41889266270726305,-128.01501094686023,0.41282977192976994,1,5,10,-37.0,-0.5108256237659907,-20400,-0.32732077337840704,-0.35227944101008024,-37.0
n_BTb-ord-C2-pp.wav,0.34778153035186193,-230.9614509168303,0.3475710037098589,1,9,6,-74.5,-1.0986122886681098,-41500,-0.6288050856597389,-0.6297333439741037,-74.5
n_Fl-aeolian+ord-C6-mf.wav,0.6273371374410973,153.22690028377366,0.6305357630289576,8,1,7,66.125,0.9382696385929302,32700,0.520809938200318,0.5345159274168547,66.125
n_PFL-L_LV_nA_sus_f_C8.wav,0.6421419337313093,252.8143989601044,0.6424176578788475,9,2,5,66.125,0.9382696385929302,42500,0.5846729149817415,0.5858729863885421,66.125
n_BKL_stac_mf1_C5.wav,0.5888811552441552,147.5068688412912,0.5901288656164658,5,1,10,38.0,0.5108256237659907,23900,0.3593420568260634,0.36449812543736615,38.0
n_Tbn-flatt-C4-pp.wav,0.4603461396523871,-133.36347166762857,0.4535891936670766,4,5,7,-8.875,-0.12516314295400605,-16000,-0.15894925065505147,-0.1861791567461885,-8.875
