sounds,centMed,centIqr,bandwidthMed,bandwidthIqr,contrastMed,contrastIqr,rolloffMed,rolloffIqr,flatnessMed,flatnessIqr,zcrMed,zcrStd,zcrIqr,crestMed,crestIqr,fluxMed,fluxStd,fluxIqr,HPRMed,HPRIqr,HNRMed,HNRIqr,LAT,Release,Att_slope,Dec_slope,MPS_rough,F0
n_BKL-L_pA_sus_mf_C2.wav,920.1232528625956,71.19046204897461,1359.738604152833,104.55482260850954,20.851873769707527,7.608056838071519,1830.322265625,172.265625,1.5925716070341878e-05,9.11149436433334e-06,0.0224609375,0.0040999491539561,0.00439453125,102.78826141357422,8.884044647216797,0.0109673311851552,0.0697262695770153,0.0013461827680384,0.6182162165641785,0.0483191013336181,-6.065360386383692,4.130257844771816,-0.7730992083679776,6.230929705215419,4.63059664886614,-0.0273028425283033,61.87409667284945,65.4
n_BTb-play+sing_min2nd-C3-mf.wav,329.3093272544559,32.80009694601057,554.8330926837532,53.97443691942203,19.563727405024096,10.122114495476527,430.6640625,21.533203125,1.229848010098067e-07,4.8424665166635357e-08,0.013671875,0.0024405444552724,0.00341796875,130.91136169433594,20.783981323242188,0.188386258548035,0.1069179268771492,0.1250523618208098,0.6711499094963074,0.1327942609786987,16.666347051583493,5.020768691252954,-0.959593227823426,3.914013605442177,8.35480950395606,-0.033540488673838,59.93013414076812,130.8
n_Acc-ord-C8-pp.wav,4017.6282262602153,99.57002821977584,2620.927802458155,118.98837216556512,13.298946620297087,23.94484971929761,4220.5078125,0.0,3.778633072215598e-06,5.210204676586727e-07,0.1904296875,0.0057070283862641,0.0,452.2113342285156,5.754669189453125,0.0106721484309731,0.0854494125525136,0.0006700323609041,0.9473798871040344,0.033646211028099,48.061125903294666,3.092298669789855,-1.0010846274909757,5.185260770975057,9.158683832104892,-0.019148102186676,54.00243237775051,4186.0
n_BTb-ord-C1-pp.wav,321.9783245893623,33.41981465767475,826.0742713072739,241.20049723545583,14.769730652287349,3.997182390411567,430.6640625,21.533203125,9.879157687464613e-07,1.1496830154555937e-06,0.009765625,0.0018254995347804,0.00244140625,68.07756042480469,13.218931198120115,0.0490220161976455,0.1155336972434275,0.0235414236932922,0.2923710942268371,0.3225148357450962,-1.4319353312763834,5.301491730734215,-0.8960179670002701,2.808049886621315,5.727527603185975,-0.2707481204345909,55.073146749586,32.7
n_Bn-ord-C4-mf.wav,892.5401800102596,27.61903403740837,1363.986218074545,59.26547176307736,25.228239506738376,10.15099400831818,1076.66015625,21.533203125,3.480650320852874e-06,8.773106401349651e-07,0.02392578125,0.0008574318807317,0.00048828125,210.9187774658203,8.740219116210938,0.0231403146021355,0.0828823855366958,0.0098746779378592,0.8612767457962036,0.0648981034755706,35.54235786713713,3.102175107473151,-1.0904342684559356,5.364308390022676,8.956006692657414,-0.0289512041412435,56.444754093833645,261.6
n_Cb-ord-C4-pp.wav,832.6276413755963,91.55383174008124,1770.7825381612786,150.13785772642768,22.669119963984663,6.408335496836429,1055.126953125,258.3984375,1.2791113476851024e-05,4.656041255657328e-06,0.01171875,0.0005050376898992,0.00048828125,222.4937286376953,20.99195098876953,0.0401949926587853,0.0970852548234329,0.0171207816504074,0.8426640629768372,0.0947239398956298,26.962082526957307,3.0593851858056844,-0.7773248096358615,4.218752834467121,6.038645913932212,-0.1207770283284939,59.19942648486926,261.6
n_AFL-L_oV_pA_sus_p_C5.wav,660.9291353044266,27.07113584030651,738.9924651970243,87.44323333678415,18.688177120026356,19.603279338594973,559.86328125,452.197265625,8.758745906334299e-08,4.589934121668193e-08,0.02392578125,0.0007906848939729,0.00048828125,372.3410339355469,27.83920288085937,0.0138188142872467,0.0784912127660571,0.0017154472535519,0.8351671695709229,0.0581904649734497,45.21944017303329,3.0919956413560072,-0.8837146173258869,6.233038548752835,4.568064453748724,-0.0898965060143389,50.19975897092219,523.3
n_Tbn-ord-C4-pp.wav,609.2343000040867,16.44496923812028,850.8316740262112,26.33420257499881,25.525112761034443,8.049529924814692,796.728515625,0.0,5.423279390015523e-07,7.077640873376367e-08,0.01220703125,0.0054944158328257,0.01123046875,154.79306030273438,6.2781829833984375,0.0092398513050192,0.0729564662073678,0.0011899130377472,0.9244292974472046,0.033514454960823,43.2302189839065,3.078831655493282,-1.0687889747126194,4.713015873015873,10.72075074738206,-0.0412563548209633,51.12307391674327,261.6
n_Acc-ord-C5-ff.wav,3242.347323749981,70.46661968622811,3031.944183153703,64.4461432540711,35.56132897581833,22.692283995114607,5232.568359375,21.533203125,2.1919240680290383e-05,3.7591407817672007e-06,0.11083984375,0.0178303118873607,0.0234375,82.6421127319336,7.429586410522461,0.0121360180549175,0.0804080321569868,0.0002406117140791,0.9295161962509156,0.0379229485988616,42.68297198355712,1.500578177095946,-1.015334939290702,4.620249433106576,9.5287044377925,-0.027206303609214,54.14265331331165,523.3
n_TpC+H-ord-C4-mf.wav,3014.743885849135,264.52011130670826,3527.3663835049333,145.0823570541147,26.479749029060905,4.9561619622291815,5824.7314453125,1076.66015625,0.0005771024152636,0.0001260640710825,0.02783203125,0.0124324351556744,0.0072021484375,122.60717010498048,14.25130844116211,0.0173893839928798,0.0647001221615513,0.0112481038297761,0.7190573811531067,0.0640122443437576,22.76528099413803,2.082188596231198,-0.938233047585868,5.837233560090703,8.994051989422045,-0.0229560986079215,67.28813235710773,261.6
