sounds,instrument,technique
n_BKL-L_pA_sus_pp_C4.wav,bass_clarinet,ordinario
n_Fl-ord-C4-mf.wav,flute,ordinario
n_Vib_ES_So_sp-0_p1_C6.wav,vibraphone,soft_stick
n_Ob-mul-C6_G5+_D5_A#3-f.wav,oboe,multiphonic
n_Vn-ord-C4-ff.wav,violin,ordinario
n_Tbn-stacc-C3-mf.wav,trombone,staccato
n_BTb-ord-C3-ff.wav,bass_tuba,ordinario
n_Tbn+H-ord-C3-mf.wav,trombone,ordinario
n_Fl-ord-C7-mf.wav,flute,ordinario
n_Hp-ord-C1-ff.wav,harpa,ordinario
n_Vib_bow_sp-0_kurz_C6.wav,vibraphone,vib_arco
n_Hn-brassy-C2-ff.wav,french_horn,brassy
n_Vn-pont-C4-mf.wav,violin,sul_ponticello
n_ClBb-ord_C7-ff.wav,clarinet,ordinario
n_Tbn-flatt-C3-ff.wav,trombone,flatterzunge
n_Cb-nonvib-C5-pp.wav,doublebass,non_vibrato
n_Va-pizz_lv-C3-mf.wav,alto,pizzicato
n_Hn-brassy-C4-ff.wav,french_horn,brassy
n_Va-ord-C3-pp.wav,alto,ordinario
n_Bn-ord-C4-pp.wav,bassoon,ordinario
n_Hp-ord-C5-ff.wav,harpa,ordinario
n_Vc-ord-C3-ff.wav,cello,ordinario
n_Vn-pizz_lv-C4-pp.wav,violin,pizzicato
n_TpC-ord-C4-mf.wav,trumpet,ordinario
n_Vc-pizz_bartok-C2-ff-4c.wav,cello,pizzicato_bartok
n_Gsp_HH_f_C7.wav,glokenspiel,soft_stick
n_ASax-ord_C6-ff.wav,alto_saxophone,ordinario
n_Vib_ES_So_sp-0_f1_C6.wav,vibraphone,soft_stick
n_Hp-ord-C3-ff.wav,harpa,ordinario
n_Vn-ord-C5-pp.wav,violin,ordinario
n_Vc-ord-C5-ff.wav,cello,ordinario
n_Bn-mul-C4_D#4_D4_G#3-mf.wav,bassoon,multiphonic
n_MA_ES_A-So_p_C2.wav,marimba,soft_stick
n_Gsp_ME_f_C7.wav,glokenspiel,hard_stick
n_TpC-brassy-C5-ff.wav,trumpet,brassy
n_Cb-ord-C3-pp.wav,doublebass,ordinario
n_Hn-ord-C3-pp.wav,french_horn,ordinario
n_Gsp_HH_p_C7.wav,glokenspiel,soft_stick
n_Hp-ord-C4-pp.wav,harpa,ordinario
n_TpC-ord-C6-pp.wav,trumpet,ordinario
n_Vib_ES_Ha_sp-0_p1_C5.wav,vibraphone,hard_stick
n_Vc-pont-C4-mf-2c.wav,cello,sul_ponticello
n_ASax-ord-C5-pp.wav,alto_saxophone,ordinario
n_Fl-aeolian+ord-C6-ff.wav,flute,semi_eolian
n_Bn-flatt-C3-mf.wav,bassoon,flatterzunge
n_Vc-pizz_lv-C2-ff.wav,cello,pizzicato
n_ClBb-ord-C6-pp.wav,clarinet,ordinario
n_ASax-ord-C4-ff.wav,alto_saxophone,ordinario
n_MA_ES_A-Ha_f_C5.wav,marimba,hard_stick
n_AFL-L_oV_pA_sus_mf_C4.wav,alto_flute,ordinario
n_Ob-ord-C5-pp.wav,oboe,ordinario
n_Ob-ord-C5-ff.wav,oboe,ordinario
n_Va-pizz_lv-C5-mf.wav,alto,pizzicato
n_Hn-brassy-C5-ff.wav,french_horn,brassy
n_Fl-aeolian+ord-C4-ff.wav,flute,semi_eolian
n_Vc-ord-C6-ff.wav,cello,ordinario
n_Tbn-flatt-C5-ff.wav,trombone,flatterzunge
n_Fl-aeolian+ord-C4-mf.wav,flute,semi_eolian
n_Gsp_ME_f_C6.wav,glokenspiel,hard_stick
n_Hn-ord-C2-pp.wav,french_horn,ordinario
n_BKL_stac_mf1_C3.wav,bass_clarinet,staccato
n_Acc-ord-C4-pp.wav,accordion,ordinario
n_TpC+C-ord-C4-mf.wav,trumpet,ordinario
n_ClBb-flatt-C4-ff.wav,clarinet,flatterzunge
n_Tbn+C-ord-C4-mf.wav,trombone,ordinario
n_Ob-mul-C6+_A#4_E5-f.wav,oboe,multiphonic
n_Vib_ES_So_sp-0_f1_C5.wav,vibraphone,soft_stick
n_Cb-nonvib-C2-ff.wav,doublebass,non_vibrato
n_AFL-L_oV_pA_sus_p_C4.wav,alto_flute,ordinario
n_AFL-L_oV_pA_sus_f_C4.wav,alto_flute,ordinario
n_KFA-L_nA_sus_ff_C1.wav,contrabassoon,ordinario
