sounds,SE_brillant,SE_chaud,SE_rond,SE_rugueux,CN_brillant,CN_chaud,CN_rond,CN_rugueux,NE_brillant,NE_chaud,NE_rond,NE_rugueux,EX_brillant,EX_chaud,EX_rond,EX_rugueux
n_Vn-pizz_lv-C5-ff.wav,0.3711619981046441,0.4790322809271128,0.5919488061955341,0.273528666018983,0.4736608962169935,0.5640669245907568,0.5569178394804868,0.3922699488954627,0.5151390946115043,0.4663231259726936,0.4964926950036226,0.2406901286566098,0.408142304914981,0.5247085079548555,0.5777236868441679,0.302893593919728
n_PFL_FLatter_f_C7.wav,0.5306020597223605,0.2952330804188777,0.4096606284047349,0.6004318110663079,0.648375131594402,0.3970454018055682,0.418866392495243,0.6616130687002792,0.5941250312557652,0.3306869857707028,0.3202020927211716,0.634647481346466,0.6036552725556912,0.3282307948943379,0.4017637743532765,0.6616312308749919
n_BTb-ord-C4-pp.wav,0.2348944801344012,0.5372292369812365,0.7004995568608288,0.2732012202495172,0.2389117001108091,0.6394894063382538,0.7576449178742879,0.2738024620828179,0.4713850211381163,0.5819504289814155,0.5618508607080478,0.4026537819618292,0.1865412873065094,0.6028091774103052,0.781299305698461,0.231496601506481
n_ClBb-mul-C#4+_B5+_F#5_E6-mf.wav,0.4828880979037379,0.3574964531840063,0.3896094561398816,0.7276006956770602,0.5049255144342601,0.3924486502947165,0.4296311709764404,0.5345769812389904,0.4701312374770295,0.4120472138027941,0.4136599317295329,0.6021120137019477,0.4863961281570265,0.3630808770995832,0.4066965757152581,0.6509975899118137
n_KFA_Flatter_f_C2.wav,0.4000663857340203,0.5732374136736511,0.4958278087042257,0.7707244636109958,0.4319781366641945,0.3883005312615415,0.4173547263664462,0.7336304298190526,0.4121899587984572,0.5303103440035082,0.5624728830417173,0.6572589944546913,0.4120498412041874,0.4723385811941504,0.4490857144314096,0.8029424764391807
n_KFA_Flatter_f_C1.wav,0.3820940858044606,0.6003037255371713,0.6213613862295065,0.6819489976948083,0.3252577488120104,0.5781609586460745,0.5719773215528307,0.6515086979777202,0.3029009640239821,0.5662545577803714,0.4380414355601795,0.6409241746692421,0.3308432231926567,0.6035260445396251,0.6218982946552809,0.6830238408503047
n_Vc-pizz_lv-C3-ff.wav,0.6031129377734192,0.654020817078158,0.5669992334203783,0.4795711530666924,0.6827698866872265,0.5294389265112391,0.4618073596177726,0.502985507936139,0.336195746495818,0.5052849022442807,0.5403199092260034,0.45066214123559,0.6648855050565544,0.5988396838705118,0.5202109301146841,0.4899497940585114
n_Cb-pizz_lv-C3-ff.wav,0.5439760829818301,0.7215964746466543,0.6341675181990233,0.4284216914958512,0.5539079764980608,0.5903273729553935,0.5287372638870963,0.5017174525149584,0.4305430845243434,0.5614248080821838,0.6168290170880638,0.4305309163808542,0.5593111544778576,0.6664143613163641,0.5907632889556853,0.4597766473994283
n_EH-L_pA_sus_pp_C4.wav,0.3458600830413507,0.5979719932600976,0.5658898917027883,0.4515661076273097,0.3103583512435384,0.5126368383937973,0.5726689407645933,0.3494328512216762,0.464521312181368,0.6114142470823222,0.5686350111470447,0.4175114446982779,0.305608760639618,0.5590901832693207,0.5728598112004151,0.385379327346579
n_Hn-stacc-C4-mf.wav,0.4292221056587998,0.5259787986624164,0.6403867445379055,0.3840262179440917,0.4459179467399948,0.4903625882018144,0.5311819376112286,0.4306414633212488,0.3518208028606034,0.5350698202135256,0.5161392247769649,0.4928257286410189,0.4284041372654073,0.5110019795371982,0.5922249428593926,0.3920023645861595
n_Vc-pizz_lv-C5-ff.wav,0.4947810192443503,0.4260391703232789,0.4122103375978821,0.5417187635501469,0.6035897729482286,0.3926129331580252,0.4240033781293217,0.5467336918243677,0.5354799993375785,0.3071649286475125,0.3939995675718435,0.4062760399778071,0.5591409561506232,0.4084742650582701,0.4105710022708848,0.5509458654253165
n_Va-ord-C4-pp.wav,0.5771028017346109,0.6001572873108929,0.5198463239574082,0.6412508216518507,0.3889394015718087,0.5134395944429325,0.4447436001080577,0.644892864756838,0.454406037619271,0.5818663858660942,0.5012466001530673,0.7157671647128844,0.4835875825848433,0.5743704252860564,0.484431969932653,0.6658904997898097
n_PFL-L_LV_nA_sus_mf_C8.wav,0.6239058504003331,0.289571728069682,0.2833895913288697,0.444298531531875,0.5394093385139831,0.3488197212312144,0.3118253013038002,0.3879637114008799,0.4925127998207619,0.2475386706201073,0.2471368325812311,0.6898386701070743,0.5918619581130093,0.2951104348222328,0.2640110156274221,0.3930596416879692
n_Tbn-ord-C4-ff.wav,0.6512777221352143,0.4924998318301977,0.5409903066528458,0.5039905089524904,0.5716940382404403,0.5247738937401369,0.4626595976674201,0.6059544008149056,0.4711427485721954,0.5604400219204858,0.5000215436931119,0.481748998528288,0.6236293893843954,0.5139741068301757,0.4983059481170414,0.5620500880814379
n_Tbn-pedal_tone-C1-f.wav,0.3170463469435952,0.581503668931951,0.4263388224722131,0.7213703665554052,0.3603628882645979,0.3433510995436205,0.466272419934934,0.6998440146702984,0.3331156168865966,0.572670969369409,0.3490627908474251,0.6240457067537226,0.3183091211219735,0.4569243610632361,0.4474519204525227,0.7388878131372018
n_MA_ES_A-So_f_C6.wav,0.4606797052079251,0.4124267838165404,0.4544815973416574,0.1870513514517914,0.5279652605514006,0.3912325967898158,0.5398344884610715,0.3396942568226891,0.6178348641990777,0.3777465137959377,0.4899454993763756,0.3107942613153979,0.4974041624693832,0.3909278519491859,0.5016690325348611,0.2186859609865512
n_TpC-stacc-C6-mf.wav,0.6011436434500974,0.4565530469393832,0.4840093922865082,0.5076090447741357,0.5682691441240374,0.4163663853962386,0.3446373160069793,0.5052077115209351,0.4544023676255642,0.2483952538239649,0.3183477663379023,0.5003894654668586,0.6016478834174345,0.4251883762957161,0.3979248049157413,0.5133622165128358
n_Va-ord-C6-pp.wav,0.654552004642165,0.3111822450524936,0.3907422122496051,0.5705515804105482,0.6375305273282589,0.4700718518457893,0.5408527207064303,0.4554525506210175,0.5290316838373734,0.4878145876743259,0.3873447105177613,0.6782175239739107,0.6701438597164401,0.3723778204234817,0.4656653648487573,0.5158374763335192
n_Ob-ord-C6-mf.wav,0.5415978827792437,0.4614213141511675,0.5765460740152402,0.3869641916734201,0.5060699460342334,0.5145087421743331,0.464002659792888,0.3132199971753264,0.6207188803167287,0.5273710862103955,0.4629356137304763,0.3479655491820942,0.533730121502722,0.4844329568887058,0.5144727707764827,0.3257978204002222
n_Acc-ord-C8-pp.wav,0.5574396645108315,0.2366681199640284,0.3088677588695263,0.3070814235020997,0.4671827941966942,0.351704829113223,0.3938528279137819,0.3856988313705312,0.6103536682488129,0.2721151792324349,0.2701063698471556,0.3406731537009992,0.5118467651133345,0.2634717346252917,0.3376243710882199,0.3165685925969966
n_ASax-ord_C6-ff.wav,0.7487256236871116,0.2767537561158954,0.3253806567155849,0.3826673584685383,0.6525111360107215,0.4415131106039274,0.4729623988748027,0.4266191497592104,0.5318238077351926,0.4204091777681243,0.4243434758747659,0.4014022368985277,0.7336976871815701,0.3396006628426945,0.3920599732998225,0.3980359735530825
n_Tbn-flatt-C5-pp.wav,0.5331525940012249,0.5013971069649231,0.5410539151643762,0.6578563799890507,0.3529064396351868,0.3951643077627888,0.3962902710919874,0.7182717670517174,0.4999542680890193,0.4561783458628609,0.3943459780760407,0.5114901818203816,0.4353105940773832,0.4394121292229032,0.4673256461311321,0.7291426129920046
n_Vc-ord-C2-pp.wav,0.4683850996364568,0.6883952113012992,0.4647835380601038,0.6137354073334067,0.2828376848833361,0.5116677002972103,0.460994907344808,0.5713655173387009,0.3713652156140258,0.6334483664693823,0.5817266204007171,0.683307526488832,0.3708936767320406,0.6210754386630476,0.4597960401160012,0.5995682951371748
n_AFL_flatter_p_C4.wav,0.371308195069939,0.457258588418919,0.5012740828182171,0.5452054846818856,0.3404714082167237,0.6528923572414108,0.5308701639316065,0.6503048601922313,0.5033980674263431,0.6198581782456779,0.5084299832958619,0.7293895436288338,0.3345303113465171,0.5677632457541161,0.5228801861283474,0.6158586239693848
n_Gsp_ME_p_C7.wav,0.7539823489577586,0.4026055279720194,0.4234362627806792,0.3957518708835565,0.7629247270578584,0.3270387873891716,0.4121749734106411,0.3670986789188536,0.7201373326594049,0.3371433312014382,0.6009353437174769,0.3144085936002598,0.8111420713507006,0.3539051720568932,0.4083420781736893,0.3629598380505895
n_MA_ES_A-Ha_p_C2.wav,0.3452808645321927,0.6497923098827202,0.6947342423699496,0.3627009762327188,0.4679183068228532,0.7082832925284315,0.713069981760913,0.4157597478724653,0.5671984500491094,0.6047029743527874,0.7357827460248803,0.2675438922040132,0.4068445604640252,0.7053863493564606,0.7440685282339001,0.3657224873870678
n_Gtr-pont-C5-mf-1c.wav,0.6073813002445401,0.4744163930124102,0.472012733120802,0.4000926733962295,0.7623012233522727,0.5127509350419652,0.4775406889895511,0.4295407292696243,0.4673639273333979,0.4426631262291569,0.6601872655838937,0.3925296121859761,0.6962168383968037,0.4930131077824825,0.4723012561512712,0.4062189208780113
n_PFL-L_LV_nA_sus_f_C8.wav,0.7503980942326149,0.200297262776805,0.2039332780381078,0.6095004692826199,0.5175158250897267,0.3635872694130775,0.2751093201028953,0.5531447414291559,0.5316237860044063,0.3239349231539654,0.3331237512586014,0.7267934973677921,0.642528060934433,0.2596603417453201,0.1850501865115602,0.5856692677908908
n_Gtr-pont-C3-mf-5c.wav,0.5294700422895983,0.610993585954653,0.616365004851787,0.4184943781516492,0.6148713201095771,0.5726619002479352,0.6903163180552273,0.3994817883930682,0.4984966967432533,0.589941092723183,0.5633874591870487,0.3947385842603677,0.5868484250413858,0.6132184394808622,0.6798367030672812,0.3960069123502499
n_Vc-pizz_lv-C2-mf.wav,0.3950208539162291,0.8024696253000176,0.7635935817556977,0.3475564891260924,0.5721491379651501,0.6898867986338624,0.6680257198613901,0.3471142355165861,0.3867565467878686,0.6164827663484508,0.6641578261008242,0.3119208618169927,0.4810187484565884,0.7884436464966494,0.7479090351268416,0.3189940591095481
n_Ob-mul-C6+_A#4_E5-f.wav,0.5368832299208611,0.3589799790028433,0.2749110471865586,0.6195126796718798,0.3729584235324426,0.3573717102225035,0.2421839965442606,0.7176662804347196,0.4967972133631935,0.4587960930921285,0.3886914422206151,0.5896129589900259,0.4465722058565057,0.3381507551195683,0.2140621592967328,0.6962194690913116
n_Bn-mul-A3_G#2_B2+_D4-mf.wav,0.3979921087977743,0.3213468322469553,0.2476903715552767,0.7518364748046832,0.3881154320280184,0.3440775817806761,0.2429289695438999,0.8057572084444805,0.408306492342749,0.4989685681891793,0.2705165054962738,0.7544707230881078,0.3793465656329884,0.3116197641322853,0.1935317076503764,0.8400064953236284
n_Tbn-ord-C2-mf.wav,0.3447648720204159,0.5735109859592169,0.4919442881163708,0.5916587372781685,0.3923367742714321,0.5823243897583232,0.5391762010621416,0.5804799468396009,0.3642920779261117,0.6564288670235802,0.502600071542901,0.6170566393068744,0.3533378521568436,0.5876783593274255,0.5224630406505243,0.598259706066766
n_KFA-L_nA_sus_ff_C3.wav,0.4980430689718986,0.518574006801528,0.5934283666838756,0.5445307442211216,0.4733782455391419,0.5244617639929475,0.4580719172000971,0.5351107341493565,0.4006189036343894,0.6513198346705181,0.6499345334683214,0.4934704902071091,0.4795042932941191,0.5225995188340834,0.5210296354536341,0.5459717053966987
n_Tbn-pedal_tone-C1-p.wav,0.4497272248200065,0.5157760391536305,0.404348983704093,0.7150695030838612,0.3087251261272812,0.5494242238209088,0.5860625788605418,0.5961598625229442,0.2302760586966249,0.5673574123747505,0.4463239071034812,0.6959681360570025,0.3723968467458158,0.5416613960119281,0.5039761520997417,0.6778068468019823
n_Fl-ord-C6-ff.wav,0.5629418126820409,0.5864820323093456,0.5358148832276789,0.3128757038687744,0.4407823761442006,0.4827234409831341,0.6916616173884592,0.3133102318084734,0.5701729354600696,0.4034547425648417,0.45816493828484,0.564985040795513,0.5000628412789888,0.5336254198756928,0.6370264481760795,0.2719151854599666
n_ClBb-mul-C#4+_A#5_D#6_E5-mf.wav,0.4091983943908234,0.3226401495838675,0.2857075028663507,0.7167246968414984,0.3627825844911848,0.4875803376109202,0.446460643702932,0.6104181454096737,0.4909997215619818,0.4560890578015993,0.4967407470843071,0.6586218902012766,0.3694051920149384,0.3971203096219848,0.3497847787829599,0.6876446273653056
n_Vib_ES_So_sp-0_p1_C4.wav,0.2767912658552534,0.6924358432852505,0.7296811888979259,0.2009412217260296,0.4984046756369426,0.6930161921469254,0.6930610340549528,0.1949609324575235,0.6715127959206771,0.5382342730012373,0.7634794980322333,0.2701082675087526,0.3830400175689074,0.7311689432019758,0.752969281900121,0.1188561810197421
n_Va-nonvib-C5-ff.wav,0.6188416583664443,0.5015368627267592,0.4280274873813146,0.5334868988136123,0.5320236197109635,0.4998913954447103,0.4676620746857287,0.534323785726848,0.6471462722090858,0.4358523054408837,0.3544030863272504,0.5072519814356387,0.585423685533815,0.5048026913723161,0.4436906549827654,0.5352268523596446
n_Gtr-pont-C4-mf-2c.wav,0.5379625105255158,0.6097667679288029,0.5772325133759433,0.4536848024137774,0.5740876812380221,0.5715838030476761,0.5661004894518972,0.530205476840345,0.5347712028082844,0.4325126779186177,0.5450482853143351,0.3511314043613968,0.5651447607920046,0.5992843292146919,0.5880502222156229,0.4847153339697798
