best,worst,option1,option2,option3,option4
n_Tbn-ord-C3-pp.wav,n_TpC+C-ord-C4-mf.wav,n_Tbn-ord-C3-pp.wav,n_Acc-ord-C3-pp.wav,n_TpC+C-ord-C4-mf.wav,n_Tbn-ord-C5-ff.wav
n_Cb-ord-C4-ff.wav,n_Vib_ES_Ha_sp-0_f1_C5.wav,n_PFL-L_LV_nA_sus_mf_C6.wav,n_TpC-ord-C4-pp.wav,n_Cb-ord-C4-ff.wav,n_Vib_ES_Ha_sp-0_f1_C5.wav
n_ClBb-ord-C4-mf.wav,n_Vn-nonvib-C7-pp.wav,n_Vn-nonvib-C7-pp.wav,n_ASax-flatt-C5-mf.wav,n_ClBb-ord-C4-mf.wav,n_Vn-pizz_lv-C6-pp.wav
n_Hn-ord-C3-ff.wav,n_ASax-mul-E4+_C#5_A5+-mf.wav,n_MA_ES_A-So_f_C4.wav,n_ASax-mul-E4+_C#5_A5+-mf.wav,n_Hn-ord-C3-ff.wav,n_Vc-nonvib-C4-pp.wav
n_Cb-ord-C3-pp.wav,n_Acc-ord-C5-pp.wav,n_Acc-ord-C2-pp.wav,n_Cb-ord-C3-pp.wav,n_Acc-ord-C5-pp.wav,n_Cb-ord-C5-pp.wav
n_BTb-ord-C3-pp.wav,n_Vib_ES_Ha_sp-0_p1_C6.wav,n_Hn-stacc-C4-mf.wav,n_Vib_ES_Ha_sp-0_p1_C6.wav,n_Vc-ord-C5-ff.wav,n_BTb-ord-C3-pp.wav
n_Hn-ord-C2-mf.wav,n_Vn-pizz_bartok-C4-ff.wav,n_Vn-pizz_bartok-C4-ff.wav,n_Hn-ord-C2-mf.wav,n_MA_ES_A-So_f_C6.wav,n_BKL_stac_mf1_C5.wav
n_Vc-pizz_bartok-C3-ff-3c.wav,n_Gsp_ME_f_C8.wav,n_Gsp_ME_p_C6.wav,n_Tbn-ord-C5-pp.wav,n_Gsp_ME_f_C8.wav,n_Vc-pizz_bartok-C3-ff-3c.wav
n_Fl-aeolian+ord-C4-mf.wav,n_Tbn-flatt-C4-ff.wav,n_Fl-aeolian+ord-C4-mf.wav,n_Fl-aeolian+ord-C4-ff.wav,n_Tbn-brassy-C3-ff.wav,n_Tbn-flatt-C4-ff.wav
n_Hn-ord-C5-pp.wav,n_ClBb-mul-E4_A5+_D6+_G4-mf.wav,n_Vc-ord-C6-ff.wav,n_Hn-ord-C5-pp.wav,n_Va-pizz_lv-C3-mf.wav,n_ClBb-mul-E4_A5+_D6+_G4-mf.wav
n_Tbn-ord-C5-mf.wav,n_Bn-mul-D#3+_D3_D4_A5+-mf.wav,n_Tbn-ord-C5-mf.wav,n_Bn-mul-D#3+_D3_D4_A5+-mf.wav,n_Hn-flatt-C4-pp.wav,n_Va-nonvib-C4-pp.wav
n_Tbn+C-ord-C3-mf.wav,n_Vib_ES_Ha_sp-0_f1_C6.wav,n_Tbn+C-ord-C3-mf.wav,n_Fl-ord-C6-ff.wav,n_Vib_ES_Ha_sp-0_f1_C6.wav,n_ASax-ord-C5-ff.wav
n_BTb-play+sing_aug4th-C3-mf.wav,n_Fl-aeolian+ord-C7-pp.wav,n_Fl-aeolian+ord-C7-pp.wav,n_Fl-aeolian+ord-C6-mf.wav,n_Vn-pont-C4-mf.wav,n_BTb-play+sing_aug4th-C3-mf.wav
n_Fl-ord-C4-mf.wav,n_Gsp_HH_f_C6.wav,n_Xyl_GA_f_C7.wav,n_Fl-ord-C4-mf.wav,n_Gsp_HH_f_C6.wav,n_EH-L_pA_sus_mf_C5.wav
n_Va-pizz_lv-C3-ff.wav,n_PFL-L_LV_nA_sus_mf_C7.wav,n_PFL-L_LV_nA_sus_mf_C7.wav,n_Va-pizz_lv-C3-ff.wav,n_Fl-aeolian+ord-C6-pp.wav,n_ClBb-flatt-C4-pp.wav
n_Gtr-ord-C3-ff.wav,n_MA_ES_A-Ha_f_C7.wav,n_Gtr-ord-C5-ff.wav,n_MA_ES_A-Ha_f_C7.wav,n_Gtr-ord-C3-ff.wav,n_Vc-ord-C4-ff.wav
n_BTb-ord-C4-mf.wav,n_Gsp_ME_f_C7.wav,n_Vib_bow_sp-0_kurz_C5.wav,n_MA_ES_A-Ha_p_C7.wav,n_BTb-ord-C4-mf.wav,n_Gsp_ME_f_C7.wav
